Termino,TFIDF,Coeficiente_predicha,Coeficiente_alternativa,Diferencia_coeficientes,Contribucion_diferencial,Magnitud_diferencial,Favorece_a
api,0.15642304094676637,2.5881414996018677,-1.5024145843169356,4.090556083918804,0.6398572218098754,0.6398572218098754,backend
use it,0.223207083236974,1.010563250340736,-0.4296780471881016,1.4402412975288377,0.3214720591788467,0.3214720591788467,backend
browser,0.10737259926289831,-0.7396230333951355,1.9631563670076626,-2.702779400402798,-0.2902044494554662,0.2902044494554662,frontend
postman,0.2621285898604543,0.5998838571099496,-0.32187929124542564,0.9217631483553752,0.24162047426372724,0.24162047426372724,backend
set,0.18992199671218604,-0.8550789678391911,0.32602743264526374,-1.181106400484455,-0.22431808590955055,0.22431808590955055,frontend
set up,0.21731307163234143,-0.39299828711506507,0.5645907140671638,-0.9575890011822288,-0.20809660720825596,0.20809660720825596,frontend
explained how,0.24561484235103048,-0.8307270519359293,0.0,-0.8307270519359293,-0.2040388938979796,0.2040388938979796,frontend
how,0.09004864966954586,0.8438211639346105,-1.1372782627552367,1.9810994266898472,0.1783953282345322,0.1783953282345322,backend
it works,0.12834860083485075,-0.925700370152074,0.4428115053519551,-1.368511875504029,-0.1756465844468196,0.1756465844468196,frontend
to use,0.20079932412291754,-0.08855904749197742,0.7570971820644857,-0.8456562295564631,-0.1698071993352726,0.1698071993352726,frontend
browser and,0.15481736784026362,-0.3608454879083394,0.6325755592601937,-0.9934210471685332,-0.15379883167975067,0.15379883167975067,frontend
how to,0.11863552568208417,-0.2254941618578367,1.070163255951354,-1.2956574178091909,-0.15371099886568512,0.15371099886568512,frontend
we need,0.1415829843375572,0.5985075797713825,-0.33873658614199,0.9372441659133725,0.13269782606297986,0.13269782606297986,backend
a real,0.20801301132520067,-0.5611853108692428,0.017514085177393054,-0.5786993960466359,-0.12037700402373566,0.12037700402373566,frontend
if,0.08256515609241624,0.3445376988513915,-0.987266193916552,1.3318038927679434,0.10996059629087283,0.10996059629087283,backend
