Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
explained how,0.24561484235103048,-0.8307270519359293,-0.2040388938979796,0.2040388938979796,Contradice
set,0.18992199671218604,-0.8550789678391911,-0.1623983049186143,0.1623983049186143,Contradice
it works,0.12834860083485075,-0.925700370152074,-0.11881234730132213,0.11881234730132213,Contradice
a real,0.20801301132520067,-0.5611853108692428,-0.11673384642538007,0.11673384642538007,Contradice
set up,0.21731307163234143,-0.39299828711506507,-0.08540366491922362,0.08540366491922362,Contradice
browser,0.10737259926289831,-0.7396230333951355,-0.07941524757034514,0.07941524757034514,Contradice
environments,0.2100993844300583,-0.283234563660223,-0.059507407474329005,0.059507407474329005,Contradice
browser and,0.15481736784026362,-0.3608454879083394,-0.05586514863500478,0.05586514863500478,Contradice
your browser,0.14932460240680318,-0.2887727626459302,-0.043120877968017675,0.043120877968017675,Contradice
ve ever,0.12060698276560476,-0.3047634758527779,-0.03675660327976179,0.03675660327976179,Contradice
ve,0.08300409908931675,-0.4385076658433561,-0.03639793374708693,0.03639793374708693,Contradice
api api,0.10791047087204723,-0.31755711353920935,-0.034267737650784245,0.034267737650784245,Contradice
an,0.06489746258811285,-0.5245221430895838,-0.03404015615779304,0.03404015615779304,Contradice
tested,0.12540537424278872,-0.2539603300416957,-0.03184799023170099,0.03184799023170099,Contradice
an api,0.12834860083485075,-0.21671015667678048,-0.027814445396166065,0.027814445396166065,Contradice
how to,0.11863552568208417,-0.2254941618578367,-0.02675161843024543,0.02675161843024543,Contradice
works,0.10228181034925639,-0.2396312805768389,-0.024509921193709684,0.024509921193709684,Contradice
to use,0.20079932412291754,-0.08855904749197742,-0.01778259688135842,0.01778259688135842,Contradice
to,0.08931081566143154,-0.19547950944296183,-0.01745843443344743,0.01745843443344743,Contradice
into your,0.14932460240680318,-0.09677581104321692,-0.014451009506624278,0.014451009506624278,Contradice
