Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
api,0.15642304094676637,2.5881414996018677,0.40484496376824824,0.40484496376824824,Favorece
use it,0.223207083236974,1.010563250340736,0.22556487553503166,0.22556487553503166,Favorece
postman,0.2621285898604543,0.5998838571099496,0.15724670954428135,0.15724670954428135,Favorece
project,0.14341944026329134,0.7436172412969636,0.10664916851694338,0.10664916851694338,Favorece
up,0.14877011869252144,0.6471092368745729,0.09627051797685718,0.09627051797685718,Favorece
use,0.15042830589581374,0.5957600591029887,0.08961917641125246,0.08961917641125246,Favorece
we need,0.1415829843375572,0.5985075797713825,0.08473848929268091,0.08473848929268091,Favorece
how,0.09004864966954586,0.8438211639346105,0.07598495637489616,0.07598495637489616,Favorece
explained,0.17117787780657795,0.4182685617144715,0.07159832474749292,0.07159832474749292,Favorece
structure a,0.25282852955331364,0.268059522169693,0.06777309482292736,0.06777309482292736,Favorece
we,0.06351529784958931,0.8990590828225988,0.057104005429855956,0.057104005429855956,Favorece
a,0.06711752202869027,0.7410059244573256,0.04973448145815455,0.04973448145815455,Favorece
your,0.0519228542416223,0.8742758906951235,0.045394899639527406,0.045394899639527406,Favorece
structure,0.20245751132620982,0.17302897330606878,0.03503101532287588,0.03503101532287588,Favorece
if,0.08256515609241624,0.3445376988513915,0.028446808885387042,0.028446808885387042,Favorece
ever,0.09730371703308864,0.2837735802985454,0.027612224158836116,0.027612224158836116,Favorece
by,0.08077169900039036,0.3211418353500862,0.025939171661330085,0.025939171661330085,Favorece
real,0.1448191204768714,0.16289797066504547,0.023590740839179083,0.023590740839179083,Favorece
need to,0.10791047087204723,0.17648113149206493,0.01904416199934041,0.01904416199934041,Favorece
a url,0.1415829843375572,0.07135041229430597,0.010102004306342971,0.010102004306342971,Favorece
