Termino,TFIDF,Coeficiente_predicha,Coeficiente_alternativa,Diferencia_coeficientes,Contribucion_diferencial,Magnitud_diferencial,Favorece_a
cloud,0.12884214892510987,9.660929656412499,-4.187865676571025,13.848795332983524,1.7843085507256298,1.7843085507256298,cloud
hosting,0.20968119933229554,2.5269284392902045,-1.1773756722945221,3.704304111584727,0.776722928808639,0.776722928808639,cloud
vps,0.330550086718568,1.1901696826481154,-0.7203006753289732,1.9104703579770885,0.6315061425025803,0.6315061425025803,cloud
your app,0.2528863610125144,-0.7551962729929124,0.9467494493946121,-1.7019457223875245,-0.4303988603753961,0.4303988603753961,backend
shared,0.2528863610125144,0.36748902683625456,-0.3782307451038206,0.7457197719400752,0.18858235946100776,0.18858235946100776,cloud
to cloud,0.2795741732729681,0.5218747228253625,-0.151705770906709,0.6735804937320715,0.18831570966794156,0.18831570966794156,cloud
move,0.19799596360478366,0.2871393954155333,-0.6413917038198957,0.928531099235429,0.18384540973012778,0.18384540973012778,cloud
app from,0.3278085221208485,0.0,0.4524651688949627,-0.4524651688949627,-0.14832193832661783,0.14832193832661783,backend
when,0.11461416011080447,-0.26935666527107893,0.9973406880031742,-1.2666973532742531,-0.1451814532601075,0.1451814532601075,backend
shared hosting,0.3278085221208485,0.28303665845567233,-0.14151832922783628,0.42455498768350863,0.139172743071566,0.139172743071566,cloud
your,0.11905828430971002,-0.2062064112592798,0.8742758906951235,-1.0804823019544032,-0.1286403690976973,0.1286403690976973,backend
to,0.10670772452987881,0.7550966952176366,-0.19547950944296183,0.9505762046605983,0.10143382379158083,0.10143382379158083,cloud
is the,0.08318893872435104,0.20322266626033064,-0.6460273870180041,0.8492500532783347,0.07064821064382325,0.07064821064382325,cloud
right,0.09474320808136777,-0.025398628327551603,-0.6644956230982597,0.6390969947707081,0.06055009955973801,0.06055009955973801,cloud
from,0.12609080913960946,-0.6024293782292359,-0.14517591530382784,-0.4572534629254081,-0.05765545912215312,0.05765545912215312,backend
the,0.0568654477346383,0.4094602330477646,1.3954875280117487,-0.9860272949639841,-0.05607088360670122,0.05607088360670122,backend
call,0.11589094379933869,-0.19091022739552316,0.2118521571552057,-0.4027623845507289,-0.04667651287245616,0.04667651287245616,backend
when to,0.18998689596863863,-0.27542054255397463,-0.057262376085563456,-0.21815816646841119,-0.041447192877542983,0.041447192877542983,backend
app,0.17642389953287307,0.10085854406043976,0.3300713291488602,-0.22921278508842047,-0.04043861336808952,0.04043861336808952,backend
vps vps,0.1360467305006311,-0.0023972243322606217,0.24796032471984025,-0.2503575490521009,-0.0340603260046897,0.0340603260046897,backend
the moment,0.13076874612895292,0.21413325267876435,-0.0005352066716644359,0.21466845935042878,0.02807192526268967,0.02807192526268967,cloud
to move,0.24294229270519954,-0.18736411129269145,-0.2858631969659957,0.09849908567330426,0.02392959370283841,0.02392959370283841,cloud
traffic,0.10845204263453155,0.6621849620653194,0.5105033144731617,0.15168164759215774,0.01645018451154068,0.01645018451154068,cloud
is,0.041082045488603454,0.4655634373460528,0.11896688099687278,0.3465965563491801,0.014238895494130327,0.014238895494130327,cloud
moving,0.11306280483302128,0.018513800725735958,-0.10590784663251984,0.1244216473582558,0.014067460432269472,0.014067460432269472,cloud
moment,0.11805186059246767,0.2695124365629922,0.33298230762562137,-0.06346987106262919,-0.007492736370507399,0.007492736370507399,backend
the right,0.10422272011510604,0.10601463894056257,0.10380392026394868,0.0022107186766138903,0.0002304071138859671,0.0002304071138859671,cloud
move your,0.2644738515968031,0.0,0.0,0.0,0.0,0.0,Ninguna
