Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
cloud,0.12884214892510987,9.660929656412499,1.2447349375465098,1.2447349375465098,Favorece
hosting,0.20968119933229554,2.5269284392902045,0.5298493857772558,0.5298493857772558,Favorece
vps,0.330550086718568,1.1901696826481154,0.3934106918091451,0.3934106918091451,Favorece
to cloud,0.2795741732729681,0.5218747228253625,0.14590269418596008,0.14590269418596008,Favorece
shared,0.2528863610125144,0.36748902683625456,0.09293296270865066,0.09293296270865066,Favorece
shared hosting,0.3278085221208485,0.28303665845567233,0.0927818287143773,0.0927818287143773,Favorece
to,0.10670772452987881,0.7550966952176366,0.08057465014670542,0.08057465014670542,Favorece
traffic,0.10845204263453155,0.6621849620653194,0.07181531173785367,0.07181531173785367,Favorece
move,0.19799596360478366,0.2871393954155333,0.05685244128419351,0.05685244128419351,Favorece
moment,0.11805186059246767,0.2695124365629922,0.03181644458907064,0.03181644458907064,Favorece
the moment,0.13076874612895292,0.21413325267876435,0.028001936957316263,0.028001936957316263,Favorece
the,0.0568654477346383,0.4094602330477646,0.023284139481790474,0.023284139481790474,Favorece
is,0.041082045488603454,0.4655634373460528,0.019126298310881126,0.019126298310881126,Favorece
app,0.17642389953287307,0.10085854406043976,0.017793857644350878,0.017793857644350878,Favorece
is the,0.08318893872435104,0.20322266626033064,0.01690587793092989,0.01690587793092989,Favorece
the right,0.10422272011510604,0.10601463894056257,0.011049134042406275,0.011049134042406275,Favorece
moving,0.11306280483302128,0.018513800725735958,0.0020932222381713325,0.0020932222381713325,Favorece
