Termino,TFIDF,Coeficiente_predicha,Coeficiente_alternativa,Diferencia_coeficientes,Contribucion_diferencial,Magnitud_diferencial,Favorece_a
building,0.19586403446635728,2.370283928460427,-0.46699272909276346,2.8372766575531903,0.555720453045589,0.555720453045589,frontend
machine,0.14602974184584128,-0.7669856085723619,1.29842208735065,-2.065407695923012,-0.3016109526420513,0.3016109526420513,datascience
from,0.19233277372630098,-0.18270220096557535,1.3162294790756253,-1.4989316800412007,-0.2882936876485484,0.2882936876485484,datascience
feels like,0.3377291402737722,-0.5007522716566872,0.025161427809274554,-0.5259136994659618,-0.1776163815788383,0.1776163815788383,datascience
like,0.21226227549113694,-0.16345385461574274,0.5289660316209572,-0.6924198862366999,-0.14697462064791608,0.14697462064791608,datascience
import,0.35999918491531563,-0.2800465730391938,0.12197904444118828,-0.40202561748038207,-0.14472889460801402,0.14472889460801402,datascience
let s,0.18187666338956462,0.44345600438986876,-0.1386897612456208,0.5821457656354896,0.10587872946014631,0.10587872946014631,frontend
let,0.16440971095655618,0.5650776645745951,-0.06395969628346099,0.6290373608580561,0.10341985067954793,0.10341985067954793,frontend
s be,0.218865988063637,-0.10272051720657863,0.2975535840073866,-0.4002741012139652,-0.08760638665847874,0.08760638665847874,datascience
because,0.28567391518614815,0.13475691053018357,-0.1705960967372779,0.3053530072674615,0.08723138909996007,0.08723138909996007,frontend
production,0.13204697631022017,-0.8011900776741802,-0.2134237770705435,-0.5877663006036367,-0.07761276277175415,0.07761276277175415,datascience
s,0.08713293029001533,-0.47827441051608494,0.17609008808025783,-0.6543644985963428,-0.05701669624045597,0.05701669624045597,datascience
real,0.12536551926982453,-0.19017364399260392,0.2540135303156323,-0.4441871743082362,-0.055685755760148094,0.055685755760148094,datascience
be,0.13876732349595688,0.19961003474687294,-0.1497221267423603,0.34933216148923324,0.04847588906091828,0.04847588906091828,frontend
a production,0.18812133356147567,-0.12934117651841565,-0.377193633543999,0.24785245702558334,0.046626334742141076,0.046626334742141076,frontend
in,0.06398649608522863,-0.6657400634268195,0.06180282772402896,-0.7275428911508485,-0.046552920356459686,0.046552920356459686,datascience
feels,0.31121302889941005,-0.1596553577775622,-0.3059910993920594,0.14633574161449717,0.04554158938408911,0.04554158938408911,frontend
in a,0.14171583652961,0.27337317368797354,0.5139906009867675,-0.24061742729879398,-0.03409929999325121,0.03409929999325121,datascience
a,0.0468760072204751,0.11418386769934011,-0.3745028313234671,0.48868669902280726,0.022907681231943255,0.022907681231943255,frontend
from scratch,0.3212194179148607,0.5772984748200114,0.5730851674435113,0.004213307376500053,0.0013533961429757358,0.0013533961429757358,frontend
scratch,0.3212194179148607,0.5772984748200114,0.5730851674435113,0.004213307376500053,0.0013533961429757358,0.0013533961429757358,frontend
