Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
feels like,0.3377291402737722,-0.5007522716566872,-0.1691186341967514,0.1691186341967514,Contradice
machine,0.14602974184584128,-0.7669856085723619,-0.11200271041929746,0.11200271041929746,Contradice
production,0.13204697631022017,-0.8011900776741802,-0.10579472720662592,0.10579472720662592,Contradice
import,0.35999918491531563,-0.2800465730391938,-0.10081653803243716,0.10081653803243716,Contradice
feels,0.31121302889941005,-0.1596553577775622,-0.04968682747397412,0.04968682747397412,Contradice
in,0.06398649608522863,-0.6657400634268195,-0.042598373962240046,0.042598373962240046,Contradice
s,0.08713293029001533,-0.47827441051608494,-0.0416734508709962,0.0416734508709962,Contradice
from,0.19233277372630098,-0.18270220096557535,-0.03513962107760917,0.03513962107760917,Contradice
like,0.21226227549113694,-0.16345385461574274,-0.03469508711853503,0.03469508711853503,Contradice
a production,0.18812133356147567,-0.12934117651841565,-0.024331834611054575,0.024331834611054575,Contradice
real,0.12536551926982453,-0.19017364399260392,-0.023841217630567537,0.023841217630567537,Contradice
s be,0.218865988063637,-0.10272051720657863,-0.022482027492825657,0.022482027492825657,Contradice
