case_id,idioma,categoria_real,categoria_predicha,segunda_categoria,correcta,posicion,term,feature_type,contribution,favours,contribution_abs
cloud_001,en,cloud,cloud,backend,True,1,capacity,word,0.16370508082918264,cloud,0.16370508082918264
cloud_001,en,cloud,cloud,backend,True,2,using,word,0.15998672752072093,cloud,0.15998672752072093
cloud_001,en,cloud,cloud,backend,True,3,increase,word,0.15581756385766582,cloud,0.15581756385766582
cloud_001,en,cloud,cloud,backend,True,4,an,word,0.11041751053499087,cloud,0.11041751053499087
cloud_001,en,cloud,cloud,backend,True,5, aws,char,0.08874075884657515,cloud,0.08874075884657515
cloud_001,en,cloud,cloud,backend,True,6, aws ,char,0.08800503610025716,cloud,0.08800503610025716
cloud_001,en,cloud,cloud,backend,True,7,aws,char,0.08553469693418499,cloud,0.08553469693418499
cloud_001,en,cloud,cloud,backend,True,8,aws ,char,0.08476661127590607,cloud,0.08476661127590607
cloud_001,en,cloud,cloud,backend,True,9, aw,char,0.08137023124381054,cloud,0.08137023124381054
cloud_001,en,cloud,cloud,backend,True,10,scaling,word,-0.07838303303282122,backend,0.07838303303282122
cloud_001,es,cloud,backend,cloud,False,1,aplicacion,word,0.1154797760339587,backend,0.1154797760339587
cloud_001,es,cloud,backend,cloud,False,2,scaling,word,0.09923754655338993,backend,0.09923754655338993
cloud_001,es,cloud,backend,cloud,False,3, aws,char,-0.08417819431817128,cloud,0.08417819431817128
cloud_001,es,cloud,backend,cloud,False,4, aws ,char,-0.08348029841206427,cloud,0.08348029841206427
cloud_001,es,cloud,backend,cloud,False,5,aws,char,-0.08113697057650972,cloud,0.08113697057650972
cloud_001,es,cloud,backend,cloud,False,6,aws ,char,-0.08040837568239362,cloud,0.08040837568239362
cloud_001,es,cloud,backend,cloud,False,7, aw,char,-0.07718661893796018,cloud,0.07718661893796018
cloud_001,es,cloud,backend,cloud,False,8,usando,word,0.05793123600879331,backend,0.05793123600879331
cloud_001,es,cloud,backend,cloud,False,9,ws ,char,-0.053881851992530795,cloud,0.053881851992530795
cloud_001,es,cloud,backend,cloud,False,10, ba,char,0.05078199036372043,backend,0.05078199036372043
