Texto,Categoria_predicha,Segunda_categoria,Puntuacion_ganadora,Puntuacion_segunda,Margen_decision,Terminos_activos,Longitud_caracteres,Longitud_palabras,Sin_vocabulario_reconocido,Coincide_con_intercepto
,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,0,0,True,True
 ,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,1,0,True,True
qzxv plmokn asdfgh,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,18,3,True,True
🚀 ✨ 🔥 🎯,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,7,4,True,True
123456789 987654321,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,19,2,True,True
технология данные модель,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,24,3,True,True
これは未知の技術テキストです,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,14,1,True,True
zzzzzzzz xxxxxxxx yyyyyyyy,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,26,3,True,True
@@@ ### $$$ %%%,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,15,4,True,True
unknown_token_999 xyzabc123,frontend,cloud,-0.4451063611691545,-0.7587329513838929,0.3136265902147384,0,27,2,True,True
